,NCESID,StudentTestID,StudentLocalID,StudentGradeLevel,TestDate,TestName,TestTypeName,TestSubjectName,TestGradeLevel,Score1Label,Score1Type,Score1Value,Score2Label,Score2Type,Score2Value,Score3Label,Score3Type,Score3Value
5209,373737,1772285,,10,June 1,MCAS,MCAS Science,Science,10,Performance Level,Level,3 - NI,Scaled Score,Scale,232.0,CPI,Scale,75.0
5210,373737,1691595,,10,April 1,MCAS,MCAS ELA,ELA,10,Performance Level,Level,5 - A,Scaled Score,Scale,268.0,CPI,Scale,100.0
5211,373737,1691595,,10,May 1,MCAS,MCAS Math,Math,10,Performance Level,Level,5 - A,Scaled Score,Scale,266.0,CPI,Scale,100.0
5212,373737,1691595,,10,June 1,MCAS,MCAS Science,Science,10,Performance Level,Level,5 - A,Scaled Score,Scale,268.0,CPI,Scale,100.0
5213,373737,1700993,,10,April 1,MCAS,MCAS ELA,ELA,10,Performance Level,Level,5 - A,Scaled Score,Scale,268.0,CPI,Scale,100.0
5214,373737,1700993,,10,May 1,MCAS,MCAS Math,Math,10,Performance Level,Level,5 - A,Scaled Score,Scale,268.0,CPI,Scale,100.0
5215,373737,1700993,,10,June 1,MCAS,MCAS Science,Science,10,Performance Level,Level,5 - A,Scaled Score,Scale,266.0,CPI,Scale,100.0
5216,373737,1063891,,10,April 1,MCAS,MCAS ELA,ELA,10,Performance Level,Level,5 - A,Scaled Score,Scale,268.0,CPI,Scale,100.0
5217,373737,1063891,,10,May 1,MCAS,MCAS Math,Math,10,Performance Level,Level,5 - A,Scaled Score,Scale,260.0,CPI,Scale,100.0
5218,373737,1063891,,10,June 1,MCAS,MCAS Science,Science,10,Performance Level,Level,4 - P,Scaled Score,Scale,254.0,CPI,Scale,100.0
5219,373737,1237509,,10,April 1,MCAS,MCAS ELA,ELA,10,Performance Level,Level,4 - P,Scaled Score,Scale,242.0,CPI,Scale,100.0
5220,373737,1237509,,10,May 1,MCAS,MCAS Math,Math,10,Performance Level,Level,1 - F,Scaled Score,Scale,212.0,CPI,Scale,25.0
5221,373737,1237509,,10,June 1,MCAS,MCAS Science,Science,10,Performance Level,Level,1 - F,Scaled Score,Scale,208.0,CPI,Scale,0.0
5222,373737,1089781,,10,April 1,MCAS,MCAS ELA,ELA,10,Performance Level,Level,5 - A,Scaled Score,Scale,266.0,CPI,Scale,100.0
5223,373737,1089781,,10,May 1,MCAS,MCAS Math,Math,10,Performance Level,Level,5 - A,Scaled Score,Scale,266.0,CPI,Scale,100.0
5224,373737,1089781,,10,June 1,MCAS,MCAS Science,Science,10,Performance Level,Level,5 - A,Scaled Score,Scale,266.0,CPI,Scale,100.0
5225,373737,1228758,,10,April 1,MCAS,MCAS ELA,ELA,10,Performance Level,Level,5 - A,Scaled Score,Scale,264.0,CPI,Scale,100.0
5226,373737,1228758,,10,May 1,MCAS,MCAS Math,Math,10,Performance Level,Level,5 - A,Scaled Score,Scale,260.0,CPI,Scale,100.0
5227,373737,1228758,,10,June 1,MCAS,MCAS Science,Science,10,Performance Level,Level,3 - NI,Scaled Score,Scale,238.0,CPI,Scale,75.0
5228,373737,1201182,,10,April 1,MCAS,MCAS ELA,ELA,10,Performance Level,Level,4 - P,Scaled Score,Scale,246.0,CPI,Scale,100.0
5229,373737,1201182,,10,May 1,MCAS,MCAS Math,Math,10,Performance Level,Level,1 - F,Scaled Score,Scale,218.0,CPI,Scale,25.0
5230,373737,1201182,,10,June 1,MCAS,MCAS Science,Science,10,Performance Level,Level,3 - NI,Scaled Score,Scale,220.0,CPI,Scale,50.0
5231,373737,1460048,,10,May 1,MCAS,MCAS Math,Math,10,Performance Level,Level,4 - P,Scaled Score,Scale,250.0,CPI,Scale,100.0
5232,373737,1460048,,10,June 1,MCAS,MCAS Science,Science,10,Performance Level,Level,4 - P,Scaled Score,Scale,254.0,CPI,Scale,100.0
5233,373737,1989620,,10,April 1,MCAS,MCAS ELA,ELA,10,Performance Level,Level,4 - P,Scaled Score,Scale,242.0,CPI,Scale,100.0
5234,373737,1989620,,10,May 1,MCAS,MCAS Math,Math,10,Performance Level,Level,3 - NI,Scaled Score,Scale,220.0,CPI,Scale,50.0
5235,373737,1989620,,10,June 1,MCAS,MCAS Science,Science,10,Performance Level,Level,1 - F,Scaled Score,Scale,218.0,CPI,Scale,25.0
